account_id,customer_id,account_type,branch_id,open_date,currency,balance,interest_rate,loan_amount
ACC000001,CUS00001,KOBİ Kredi,BR004,2026-03-09,TRY,24178.56,35.75,30217.36
ACC000002,CUS00002,Bireysel Kredi,BR004,2023-12-31,TRY,20782.34,63.76,43183.44
ACC000003,CUS00003,Kredi Kartı,BR015,2026-07-04,TRY,30179.62,34.2,157743.31
ACC000004,CUS00004,Kredi Kartı,BR020,2025-10-03,TRY,21859.42,59.26,116130.35
ACC000005,CUS00005,Vadesiz,BR008,2026-06-01,EUR,20648.65,0.0,0.0
ACC000006,CUS00006,Vadesiz,BR010,2026-05-31,TRY,15354.98,0.0,0.0
ACC000007,CUS00007,Vadesiz,BR018,2021-11-30,TRY,9233.64,0.0,0.0
ACC000008,CUS00007,Bireysel Kredi,BR008,2023-05-22,TRY,20836.73,33.57,46107.27
ACC000009,CUS00007,Vadeli,BR005,2022-03-26,TRY,7330.87,1.69,0.0
ACC000010,CUS00008,Vadeli,BR007,2026-04-27,USD,8353.79,2.62,0.0
ACC000011,CUS00008,KOBİ Kredi,BR003,2023-05-08,TRY,24350.58,39.06,115369.51
ACC000012,CUS00009,Vadesiz,BR007,2025-07-30,USD,12665.73,0.0,0.0
ACC000013,CUS00009,KOBİ Kredi,BR015,2024-12-01,USD,2961.61,33.22,16633.61
ACC000014,CUS00010,Kredi Kartı,BR002,2026-04-02,EUR,31668.34,31.77,12499.66
ACC000015,CUS00010,Vadesiz,BR019,2024-04-26,TRY,24526.27,0.0,0.0
ACC000016,CUS00011,Bireysel Kredi,BR013,2025-03-20,TRY,30289.65,36.05,38547.05
ACC000017,CUS00011,Vadesiz,BR007,2025-11-24,USD,7387.95,0.0,0.0
ACC000018,CUS00012,Bireysel Kredi,BR005,2026-01-19,TRY,13875.28,51.67,54093.36
ACC000019,CUS00013,Kredi Kartı,BR016,2021-01-26,TRY,4046.2,49.27,107792.88
ACC000020,CUS00014,Kredi Kartı,BR013,2024-07-18,TRY,7585.88,36.98,58215.19
ACC000021,CUS00015,KOBİ Kredi,BR018,2024-11-27,TRY,2848.31,64.63,52994.33
ACC000022,CUS00015,Vadeli,BR012,2024-08-20,TRY,12427.85,3.84,0.0
ACC000023,CUS00015,Kredi Kartı,BR012,2024-06-17,USD,1794.03,47.58,11405.56
ACC000024,CUS00016,Vadeli,BR001,2026-06-30,TRY,10327.89,2.16,0.0
ACC000025,CUS00017,Kredi Kartı,BR017,2026-06-13,TRY,2306.16,50.44,62678.86
ACC000026,CUS00017,Vadesiz,BR008,2026-02-15,EUR,10673.12,0.0,0.0
ACC000027,CUS00017,Vadeli,BR004,2026-04-21,TRY,13072.83,2.22,0.0
ACC000028,CUS00018,Vadesiz,BR019,2022-10-12,USD,58634.16,0.0,0.0
ACC000029,CUS00018,Vadeli,BR013,2023-02-18,TRY,8839.76,4.02,0.0
ACC000030,CUS00019,Vadeli,BR019,2026-01-05,TRY,17557.8,3.71,0.0
ACC000031,CUS00019,KOBİ Kredi,BR012,2025-03-30,USD,26461.69,30.99,33732.71
ACC000032,CUS00020,KOBİ Kredi,BR019,2026-01-08,EUR,-3547.14,59.28,111460.8
