transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,currency,branch_id,merchant_category,is_flagged
TX00000001,ACC000001,2026-03-28,00:07,Fatura Ödemesi,-464.73,TRY,BR001,,False
TX00000002,ACC000001,2026-03-31,08:09,ATM Para Çekme,-2059.41,TRY,BR020,,False
TX00000003,ACC000001,2026-04-01,03:34,Havale/EFT,-5344.64,TRY,BR011,,False
TX00000004,ACC000001,2026-04-03,18:57,Market/Alışveriş,-1762.12,TRY,BR015,E-ticaret,False
TX00000005,ACC000001,2026-04-10,09:06,Havale/EFT,-2854.26,TRY,BR017,,False
TX00000006,ACC000001,2026-04-13,13:24,ATM Para Çekme,-706.53,TRY,BR005,,False
TX00000007,ACC000001,2026-04-26,02:57,Kredi Kartı Harcaması,227.52,TRY,BR002,Diğer,False
TX00000008,ACC000001,2026-05-23,08:09,Yatırım İşlemi,7079.07,TRY,BR003,,False
TX00000009,ACC000001,2026-06-11,22:51,Yatırım İşlemi,1614.31,TRY,BR008,,False
TX00000010,ACC000001,2026-06-14,15:08,Havale/EFT,1011.03,TRY,BR004,,False
TX00000011,ACC000001,2026-06-15,04:18,Kredi Kartı Harcaması,602.86,TRY,BR015,E-ticaret,False
TX00000012,ACC000001,2026-06-23,00:44,Market/Alışveriş,4092.93,TRY,BR014,Sağlık,False
TX00000013,ACC000001,2026-06-24,02:30,Fatura Ödemesi,-1452.0,TRY,BR020,,False
TX00000014,ACC000001,2026-06-26,07:04,Kredi Kartı Harcaması,738.27,TRY,BR001,Diğer,False
TX00000015,ACC000001,2026-07-08,20:02,Fatura Ödemesi,-166.86,TRY,BR020,,False
TX00000016,ACC000001,2026-07-11,14:35,Yatırım İşlemi,2534.48,TRY,BR009,,False
TX00000017,ACC000001,2026-08-06,10:01,Fatura Ödemesi,-2613.01,TRY,BR008,,False
TX00000018,ACC000001,2026-08-09,09:12,Havale/EFT,1313.09,TRY,BR018,,False
TX00000019,ACC000001,2026-08-13,15:02,Havale/EFT,-1434.3,TRY,BR002,,False
TX00000020,ACC000001,2026-08-16,12:32,Kredi Kartı Harcaması,2027.42,TRY,BR007,Sağlık,False
TX00000021,ACC000001,2026-08-21,16:06,Yatırım İşlemi,2134.4,TRY,BR017,,False
TX00000022,ACC000002,2024-10-22,19:58,Maaş Yatışı,9522.2,TRY,BR005,,False
TX00000023,ACC000002,2024-11-01,07:44,Havale/EFT,2370.23,TRY,BR018,,False
TX00000024,ACC000002,2024-11-02,05:36,Fatura Ödemesi,-229.17,TRY,BR013,,False
TX00000025,ACC000002,2024-12-02,06:03,Kredi Kartı Harcaması,3326.19,TRY,BR007,Market,False
TX00000026,ACC000002,2024-12-31,19:09,Fatura Ödemesi,-913.54,TRY,BR011,,False
TX00000027,ACC000002,2025-01-06,10:07,Döviz İşlemi,-2118.05,TRY,BR014,,False
TX00000028,ACC000002,2025-01-15,05:38,ATM Para Çekme,-2206.97,TRY,BR013,,False
TX00000029,ACC000002,2025-02-21,19:59,Fatura Ödemesi,-351.96,TRY,BR018,,False
TX00000030,ACC000002,2025-02-25,14:35,Maaş Yatışı,30355.93,TRY,BR013,,False
TX00000031,ACC000002,2025-03-17,00:09,Yatırım İşlemi,4629.61,TRY,BR012,,False
TX00000032,ACC000002,2025-03-29,20:24,Yatırım İşlemi,-591.93,TRY,BR006,,False
TX00000033,ACC000002,2025-04-14,18:09,Havale/EFT,278.51,TRY,BR001,,False
TX00000034,ACC000002,2025-04-19,20:40,Market/Alışveriş,2655.89,TRY,BR012,E-ticaret,False
TX00000035,ACC000002,2025-05-16,20:04,Fatura Ödemesi,-1116.86,TRY,BR007,,False
TX00000036,ACC000002,2025-05-23,20:38,Market/Alışveriş,975.8,TRY,BR002,Akaryakıt,False
TX00000037,ACC000002,2025-06-02,04:13,Havale/EFT,2675.67,TRY,BR012,,False
TX00000038,ACC000002,2025-07-13,09:38,Maaş Yatışı,16117.18,TRY,BR017,,False
TX00000039,ACC000002,2025-07-15,13:50,Market/Alışveriş,994.2,TRY,BR006,Sağlık,False
TX00000040,ACC000002,2025-07-21,06:29,Havale/EFT,901.51,TRY,BR019,,False
TX00000041,ACC000002,2025-08-28,03:53,Havale/EFT,-2875.2,TRY,BR014,,False
TX00000042,ACC000002,2025-09-13,04:06,Havale/EFT,-594.37,TRY,BR011,,False
TX00000043,ACC000002,2025-09-22,01:07,Havale/EFT,-5251.64,TRY,BR002,,False
TX00000044,ACC000002,2025-10-27,14:52,Havale/EFT,-1213.48,TRY,BR013,,False
TX00000045,ACC000002,2025-11-27,03:59,Döviz İşlemi,3408.46,TRY,BR018,,False
TX00000046,ACC000002,2025-12-03,12:46,Maaş Yatışı,17518.91,TRY,BR014,,False
TX00000047,ACC000002,2025-12-11,01:57,ATM Para Çekme,-4209.56,TRY,BR002,,False
TX00000048,ACC000002,2025-12-29,15:47,Market/Alışveriş,-5026.32,TRY,BR010,Restoran,False
TX00000049,ACC000002,2026-01-07,00:38,Maaş Yatışı,18059.86,TRY,BR012,,False
TX00000050,ACC000002,2026-01-29,16:49,Kredi Kartı Harcaması,946.88,TRY,BR020,Seyahat,False
TX00000051,ACC000002,2026-02-02,04:22,Yatırım İşlemi,-630.63,TRY,BR016,,False
TX00000052,ACC000002,2026-02-03,06:58,Yatırım İşlemi,4800.16,TRY,BR013,,False
TX00000053,ACC000002,2026-02-19,14:36,Kredi Kartı Harcaması,483.99,TRY,BR012,Fatura/Kamu,False
TX00000054,ACC000002,2026-02-21,09:39,Market/Alışveriş,-1579.45,TRY,BR018,E-ticaret,False
TX00000055,ACC000002,2026-02-25,03:03,Fatura Ödemesi,-1444.73,TRY,BR016,,False
TX00000056,ACC000002,2026-03-01,09:50,Maaş Yatışı,23261.82,TRY,BR017,,False
TX00000057,ACC000002,2026-03-05,23:12,Maaş Yatışı,12342.87,TRY,BR014,,False
TX00000058,ACC000002,2026-03-07,11:15,ATM Para Çekme,-507.55,TRY,BR013,,False
TX00000059,ACC000002,2026-03-10,19:19,Maaş Yatışı,18767.43,TRY,BR006,,False
TX00000060,ACC000002,2026-03-20,12:50,Döviz İşlemi,-892.31,TRY,BR014,,False
TX00000061,ACC000002,2026-03-21,16:59,Döviz İşlemi,896.6,TRY,BR012,,False
TX00000062,ACC000002,2026-03-26,13:05,Havale/EFT,4176.59,TRY,BR005,,False
TX00000063,ACC000002,2026-04-07,02:03,Döviz İşlemi,-2701.09,TRY,BR009,,False
TX00000064,ACC000002,2026-04-11,22:21,Maaş Yatışı,19012.23,TRY,BR002,,False
TX00000065,ACC000002,2026-04-30,03:33,Market/Alışveriş,-1793.87,TRY,BR004,Restoran,False
TX00000066,ACC000002,2026-05-05,15:11,Fatura Ödemesi,-312.47,TRY,BR008,,False
TX00000067,ACC000002,2026-05-31,12:00,Döviz İşlemi,1522.77,TRY,BR019,,False
TX00000068,ACC000002,2026-06-05,14:56,Kredi Kartı Harcaması,911.81,TRY,BR015,Fatura/Kamu,False
